"Modern State","Number of letters sent from this modern state to Erasmus this year from mutual correspondents of his and Pirckheimer (excl. Pirckheimer)","send_date_year1"
"Germany","6","1514"
"Italy","1","1515"
"Germany","6","1515"
"France","6","1515"
"Switzerland","2","1515"
"France","1","1516"
"Germany","7","1516"
"Switzerland","5","1516"
"Germany","9","1517"
"Italy","3","1517"
"Belgium","1","1517"
"France","1","1517"
"Switzerland","6","1517"
"Italy","1","1518"
"Germany","3","1518"
"Switzerland","1","1519"
"Germany","6","1519"
"Germany","5","1520"
"Switzerland","1","1520"
"Germany","2","1521"
"Italy","1","1521"
"Germany","4","1522"
"Italy","2","1522"
"France","2","1523"
"Italy","1","1523"
"Germany","5","1524"
"Switzerland","2","1525"
"Germany","1","1525"
"Germany","1","1526"
"Germany","3","1528"
"Switzerland","1","1528"
"Germany","3","1529"
"Germany","5","1530"
"France","2","1531"
"Germany","2","1531"
"Germany","3","1532"
"Germany","3","1533"
"Italy","1","1533"
"Italy","1","1534"
"Germany","1","1534"
"Germany","2","1535"
"Switzerland","1","1535"
"Germany","1","1536"
