"Modern State","Number of letters sent from this modern state to Pirckheimer this year from mutual correspondents of his and Erasmus (excl. Erasmus)","send_date_year1"
"Germany","1",""
"Germany","1","1508"
"Germany","4","1511"
"Germany","1","1512"
"s. l. // o. O.","1","1513"
"Germany","1","1514"
"Italy","3","1516"
"Germany","2","1516"
"Italy","18","1517"
"Germany","4","1517"
"s. l. // o. O.","1","1517"
"Switzerland","1","1517"
"Switzerland","1","1518"
"Germany","7","1518"
"Germany","15","1519"
"Italy","1","1519"
"Germany","15","1520"
"Italy","1","1520"
"Germany","2","1521"
"Germany","2","1522"
"Switzerland","1","1523"
"Germany","2","1523"
"Germany","12","1524"
"Switzerland","3","1524"
"France","3","1524"
"Italy","1","1524"
"Germany","7","1525"
"Switzerland","3","1525"
"France","2","1525"
"Spain","1","1526"
"Switzerland","3","1526"
"Germany","8","1526"
"Italy","1","1527"
"Switzerland","1","1527"
"Spain","2","1527"
"Germany","8","1527"
"Germany","6","1528"
"Switzerland","1","1529"
"Germany","8","1529"
"Italy","4","1529"
"France","1","1529"
"Italy","2","1530"
"Germany","20","1530"
