"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1344","1344 [CWE] // 1344 [ALLEN]","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","1344 From Willibald Pirckheimer Nürnberg, 17 February 1523 [CWE]","1523","02","17","1523-02-17","0","1523","02","17","1523-02-17","17 February 1523 [CWE]","0","0","0","nürnberg_DE_gid_2861650","Nürnberg [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_788","788","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","oecolampadius_johann_viaf_56634092","Johannes Oecolampadius","0","0","P. an Johannes Oecolampadius. Lat. Autogr. Nürnberg, 1. Juli 1523","1523","07","01","1523-07-01","0","1523","07","01","1523-07-01","1. Juli 1523","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","basel_CH_gid_2661604","Basel","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_791","791","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","emser_hieronymus_viaf_19702295","Hieronymus Emser","0","0","P. an Hieronymus Emser. Lat. Abschr. Nürnberg, 10. August 1523","1523","08","10","1523-08-10","0","1523","08","10","1523-08-10","10. August 1523","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","dresden_DE_gid_2935022","Dresden","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_1368","1368 [CWE] // 1368 [ALLEN]","capito_wolfgang_viaf_61578502","Wolfgang Faber Capito [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","1368 From Wolfgang Faber Capito Strasbourg, 18 June 1523 [CWE]","1523","06","18","1523-06-18","0","1523","06","18","1523-06-18","18 June 1523 [CWE]","0","0","0","strasbourg_FR_gid_2973783","Strasbourg [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1374","1374 [CWE] // 1374 [ALLEN]","capito_wolfgang_viaf_61578502","Wolfgang Faber Capito [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","1374 From Wolfgang Faber Capito Strasbourg, 6 July 1523 [CWE]","1523","07","06","1523-07-06","0","1523","07","06","1523-07-06","6 July 1523 [CWE]","0","0","0","strasbourg_FR_gid_2973783","Strasbourg [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_799","799","glareanus_henricus_viaf_73950690","Heinrich Glareanus","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Heinrich Glareanus an P. Lat. Autogr. Basel, <Ende 1523>","1523","","","1523-11-01","1","1523","","","1523-12-31","<Ende 1523>","1","0","1","basel_CH_gid_2661604","Basel","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_1337","1337 [CWE] // 1337 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer [CWE]","0","0","1337 To Willibald Pirckheimer Basel, 8 January 1523 [CWE]","1523","01","08","1523-01-08","0","1523","01","08","1523-01-08","8 January 1523 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","nürnberg_DE_gid_2861650","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1348","1348 [CWE] // 1348 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","spalatin_georg_viaf_240011410","[Georgius Spalatinus] [CWE]","1","0","1348 To [Georgius Spalatinus] Basel, 11 March 1523 [CWE]","1523","03","11","1523-03-11","0","1523","03","11","1523-03-11","11 March 1523 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","lochau_DE_gid_2876645","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1352","1352 [CWE] // 1352 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","adrian_vi_ pope_ viaf_76430137","Adrian VI [CWE]","0","0","1352 To Adrian VI [Basel, 22 March 1523] [CWE]","1523","03","22","1523-03-22","0","1523","03","22","1523-03-22","[22 March 1523] [CWE]","1","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","rome_IT_gid_3169070","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1353","1353 [CWE] // 1353 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","zasius_ulrich_viaf_61645489","Udalricus Zasius [CWE]","0","0","1353 To Udalricus Zasius Basel, [23 March] 1523 [CWE]","1523","03","23","1523-03-23","0","1523","03","23","1523-03-23","[23 March] 1523 [CWE]","1","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","freiburg_DE_gid_2925177","","1","0","latin","familiar letter","letter_1_to_1",""
