"YEAR","NewCorrReceivingFromPirck"
"NULL","0"
"","2"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"1499","5"
"NULL","0"
"NULL","0"
"1502","3"
"1503","2"
"1504","2"
"NULL","0"
"1506","2"
"1507","3"
"1508","1"
"NULL","0"
"1511","3"
"1512","4"
"1513","6"
"1514","7"
"1515","12"
"1516","3"
"1517","7"
"1518","3"
"1519","4"
"1520","4"
"1521","4"
"1522","3"
"1523","3"
"1524","4"
"1525","4"
"1526","1"
"1527","6"
"1528","6"
"NULL","0"
"1530","5"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
