"Year","Number of correspondents Pirckheimer writes to this year","Number of correspondents writing letters to Pirckheimer this year"
"NULL","NULL","NULL"
"1491","1","NULL"
"1494","1","NULL"
"1495","NULL","1"
"1496","NULL","NULL"
"1499","5","2"
"1501","1","3"
"1502","5","3"
"1503","4","NULL"
"1504","5","1"
"1505","1","7"
"1506","2","20"
"1507","5","17"
"1508","1","3"
"1509","NULL","5"
"1510","1","1"
"1511","4","5"
"1512","5","5"
"1513","12","9"
"1514","13","7"
"1515","20","11"
"1516","12","8"
"1517","13","28"
"1518","12","33"
"1519","10","36"
"1520","10","26"
"1521","11","8"
"1522","6","7"
"1523","6","10"
"1524","8","44"
"1525","9","39"
"1526","5","43"
"1527","11","32"
"1528","16","24"
"1529","6","26"
"1530","8","34"
