"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"alciati_andrea_viaf_51699991","individual","male","51699991","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","Alciatus // Alciato // Alciat","COE I, 23-26 // HGK I, 20","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como","HGK I, 20","1492","05","08","1492-05-08","0","1492","05","08","1492-05-08","8 May 1492","COE I, 23-26","pavia_IT_gid_3171366","Pavia","HGK I, 20","1550","01","12","1550-01-12","0","1550","01","12","1550-01-12","12 January 1550","COE I, 23-26",""
"brie_germain_de_viaf_227062191","individual","male","227062191","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","Brixius, the name form Brice is incorrect","COE I, 200-202","auxerre_FR_gid_3035843","Auxerre","HGK I, 133","1490","","","1490-01-01","1","1490","","","1490-12-31","ca 1490","HGK I, 130","paris_FR_gid_2988507","Paris","HGK I, 133","1538","07","22","1538-07-22","0","1538","07","22","1538-07-22","22 July 1538","COE I, 200-202",""
"lascaris_janus_viaf_32142389","individual","male","32142389","Janus LASCARIS [COE] // Johannes Lascaris [CWE] // Lascaris, John (Janus) [ALLEN]","","","İstanbul_TR_gid_745044","Constantinople","COE II, 292-294","1445","","","1445-01-01","1","1445","","","1445-12-31","1445","COE II, 292-294","rome_IT_gid_3169070","Rome","COE II, 292-294","1534","12","07","1534-12-07","0","1534","12","07","1534-12-07","7 December 1534","COE II, 292-294",""
"eichholz_adolf_viaf_unknown","individual","male","unknown","Adolf EICHHOLZ [COE] // Adolf Eichholz [CWE] // Eichholz, Adolphus (Roboreus Dryoxylus) [ALLEN]","Eichholtz // Eichols // Roborius // Dryoxylus","COE I, 426","köln_DE_gid_2886242","Cologne","COE I, 426","","","","0000-00-00","1","","","","0000-00-00","","COE I, 426","unknown_location_XX_gid_unknown","Unknown","COE I, 426","1563","","","1563-01-01","1","1563","","","1563-12-31","1563","COE I, 426",""
"more_thomas_sir_saint_viaf_29541174","individual","male","29541174","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","","","london_GB_gid_2643743","London","COE II, 456-459","1477","02","06","1477-02-06","1","1478","02","07","1478-02-07","6/7 February 1477/8","COE II, 456-459","london_GB_gid_2643743","London","COE II, 456-459","1535","07","06","1535-07-06","0","1535","07","06","1535-07-06","6 July 1535","COE II, 456-459",""
"sadoleto_jacopo_viaf_76326881","individual","male","76326881","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","Sadolet","COE III, 183-187","modena_IT_gid_3173331","Modena","COE III, 183-187","1477","","12","1477-07-12","0","1477","","12","1477-07-12","12 July 1477","COE III, 183-187","rome_IT_gid_3169070","Rome","COE III, 183-187","1547","10","18","1547-10-18","0","1547","10","18","1547-10-18","18 October 1547","COE III, 183-187",""
"budé_guillaume_viaf_105878228","individual","male","105878228","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","Budaeus","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1468","01","26","1468-01-26","0","1468","01","26","1468-01-26","26 January 1468","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1540","08","22","1540-08-22","0","1540","08","22","1540-08-22","22 August 1540","COE I, 212-217",""
"pace_richard_viaf_62360861","individual","male","62360861","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","Paceus","COE III, 37-39","unknown_location_in_hampshire_GB_gid_unknown","prob. Hampshire, in/near Winchester","COE III, 37-39","","","","0000-00-00","1","","","","0000-00-00","","COE III, 37-39","london_GB_gid_2643743","London","COE III, 37-39","1536","06","28","1536-06-28","0","1536","06","28","1536-06-28","28 June 1536","COE III, 37-39",""
"erasmus_desiderius_viaf_95982394","individual","male","95982394","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","","","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","","","1469-01-01","1","1469","","","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","","","1536-01-01","1","1536","","","1536-12-31","1536","HGK I 250",""
"vives_juan_luis_viaf_71399403","individual","male","71399403","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","","","valencia_ES_gid_2509954","Valencia","COE III, 409-413","1492","03","06","1492-03-06","0","1492","03","06","1492-03-06","6 March 1492","COE III, 409-413","brugge_BE_gid_2800931","Bruges","COE III, 409-413","1540","05","06","1540-05-06","0","1540","05","06","1540-05-06","6 May 1540","COE III, 409-413",""
