"Year","Average number of letters sent by Budé per correspondent this year"
"1503","1.0000"
"1505","1.0000"
"1508","1.0000"
"1510","1.0000"
"1511","1.0000"
"1512","1.0000"
"1516","1.6667"
"1517","1.7500"
"1518","1.5556"
"1519","1.5000"
"1520","1.7500"
"1521","2.2174"
"1522","1.0000"
"1523","1.0000"
"1524","1.8750"
"1525","1.0000"
"1526","1.0000"
"1527","1.5000"
"1528","1.0000"
"1529","1.0000"
"1530","1.0000"
"1532","1.0000"
"1533","1.0000"
"1534","1.0000"
"1535","1.0000"
"1536","1.0000"
"1537","1.0000"
"1540","1.0000"
