"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"blois_FR_gid_3032213","Blois","France","Centre-Val de Loire","47.58333","1.33333"
"brugge_BE_gid_2800931","Bruges","Belgium","Flanders","51.20892","3.22424"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878"
"chíos_GR_gid_259973","Chios","Greece","North Aegean","38.36778","26.13583"
"fontenay_le_comte_FR_gid_3017921","Fontenay-le-Comte","France","Pays de la Loire","46.46667","-0.81667"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"marly_la_ville_FR_gid_2995653","Marly-la-Ville","France","Île-de-France","49.08201","2.50347"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flanders","51.02574","4.47762"
"milano_IT_gid_3173435","Milan","Italy","Lombardy","45.46427","9.18951"
"padova_IT_gid_3171728","Padua","Italy","Veneto","45.40797","11.88586"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"romorantin_lanthenay_FR_gid_2982967","Romorantin-Lanthenay","France","Centre-Val de Loire","47.36667","1.75"
