"Location Name","Latitude","Longitude","Number of letters sent from this location to Budé"
"Leuven","50.87959","4.70093","12"
"Paris","48.85341","2.3488","8"
"Antwerp","51.21989","4.40346","7"
"Basel","47.5584","7.57327","7"
"Toulouse","43.60426","1.44367","3"
"Padua","45.40797","11.88586","3"
"Venice","45.43713","12.33265","2"
"Rome","41.89193","12.51133","2"
"Lyon","45.74846","4.84671","2"
"Calais","50.95194","1.85635","2"
"Bruges","51.20892","3.22424","2"
"Chios","38.36778","26.13583","1"
"Fontenay-le-Comte","46.46667","-0.81667","1"
"Freiburg im Breisgau","47.9959","7.85222","1"
"Brussels","50.85045","4.34878","1"
"London","51.50853","-0.12574","1"
"Mechelen","51.02574","4.47762","1"
"Milan","45.46427","9.18951","1"
"Bordeaux","44.84044","-0.5805","1"
"Bonnefont","43.24983","0.34476","1"
"Poitiers","46.58261","0.34348","1"
"Blois","47.58333","1.33333","1"
"Saint-Genis-les-Ollières","45.7571","4.72625","1"
"Avignon","43.94834","4.80892","1"
"Anderlecht","50.83619","4.31454","1"
