"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"anderlecht_BE_gid_2803201","Anderlecht","Belgium","Brussels Capital","50.83619","4.31454"
"angoulême_FR_gid_3037598","Angoulême","France","Aquitaine-Limousin-Poitou-Charentes","45.65","0.15"
"antwerpen_BE_gid_2803138","Antwerpen","Belgium","Flemish","51.21989","4.40346"
"avignon_FR_gid_3035681","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"blois_FR_gid_3032213","Blois","France","Centre","47.58333","1.33333"
"bourges_FR_gid_3031005","Bourges","France","Centre","47.08333","2.4"
"brugge_BE_gid_2800931","Brugge","Belgium","Flemish","51.20892","3.22424"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878"
"calais_FR_gid_3029162","Calais","France","Hauts-de-France","50.95194","1.85635"
"cambrai_FR_gid_3029030","Cambrai","France","Hauts-de-France","50.16667","3.23333"
"cambridge_GB_gid_2653941","Cambridge","United Kingdom","England","52.2","0.11667"
"carpentras_FR_gid_3028542","Carpentras","France","Provence-Alpes-Côte d'Azur","44.05","5.05"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"freiburg_DE_gid_2925177","Freiburg","Germany","Baden-Württemberg","47.9959","7.85222"
"gentilly_FR_gid_3016292","Gentilly","France","Île-de-France","48.81294","2.3417"
"gent_BE_gid_2797656","Gent","Belgium","Flemish","51.05","3.71667"
"greenwich_GB_gid_2647937","Greenwich","United Kingdom","England","51.47785","-0.01176"
"köln_DE_gid_2886242","Köln","Germany","North Rhine-Westphalia","50.93333","6.95"
"leuven_BE_gid_2792482","Leuven","Belgium","Flemish","50.87959","4.70093"
"liège_BE_gid_2792413","Liège","Belgium","Walloon","50.63373","5.56749"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flemish","51.02574","4.47762"
"middelburg_NL_gid_2750896","Middelburg","Netherlands","Zeeland","51.5","3.61389"
"milano_IT_gid_3173435","Milano","Italy","Lombardy","45.46427","9.18951"
"oxford_GB_gid_2640729","Oxford","United Kingdom","England","51.75222","-1.25596"
"padova_IT_gid_3171728","Padova","Italy","Veneto","45.40797","11.88586"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"rome_IT_gid_3169070","Rome","Italy","Latium","41.89193","12.51133"
"saint_omer_FR_gid_2977845","Saint-Omer","France","Hauts-de-France","50.75","2.25"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"vic_sur_seille_FR_gid_2969364","Vic-sur-Seille","France","Alsace-Champagne-Ardenne-Lorraine","48.78204","6.53081"
