"Modern State","Number of letters Erasmus sent to this modern state this year to mutual correspondents of his and Budé (excl. Budé)","send_date_year1"
"United Kingdom","1","1499"
"United Kingdom","1","1506"
"United Kingdom","1","1511"
"United Kingdom","1","1513"
"Germany","2","1514"
"Germany","4","1515"
"Unknown","1","1515"
"United Kingdom","3","1516"
"France","6","1517"
"United Kingdom","3","1517"
"Belgium","5","1517"
"Unknown","2","1517"
"Netherlands","2","1517"
"Unknown","3","1518"
"United Kingdom","7","1518"
"Italy","1","1518"
"Germany","1","1518"
"France","3","1519"
"Belgium","2","1519"
"Unknown","2","1519"
"Italy","1","1519"
"United Kingdom","4","1519"
"United Kingdom","4","1520"
"Belgium","2","1520"
"France","1","1520"
"Unknown","1","1520"
"Unknown","3","1521"
"France","2","1521"
"United Kingdom","3","1521"
"Germany","1","1522"
"France","2","1522"
"United Kingdom","1","1523"
"France","2","1523"
"Germany","1","1523"
"United Kingdom","1","1524"
"Belgium","1","1524"
"Italy","4","1525"
"France","2","1525"
"Italy","2","1526"
"France","4","1526"
"Germany","1","1527"
"France","2","1527"
"United Kingdom","1","1527"
"Belgium","2","1527"
"France","4","1528"
"Unknown","1","1528"
"Germany","2","1528"
"United Kingdom","1","1528"
"Belgium","1","1528"
"Italy","2","1529"
"Germany","1","1529"
"France","2","1529"
"France","4","1530"
"Unknown","1","1530"
"United Kingdom","1","1530"
"Italy","3","1530"
"Germany","1","1530"
"France","6","1531"
"Italy","1","1531"
"Germany","1","1532"
"France","2","1532"
"Italy","1","1532"
"Italy","2","1534"
"Germany","1","1534"
"France","1","1534"
"Germany","1","1535"
