"Modern State","Number of letters Budé sent to this modern state this year to mutual correspondents of his and Erasmus (excl. Erasmus)","send_date_year1"
"United Kingdom","1","NULL"
"Unknown","1","NULL"
"Italy","1","1510"
"France","1","1511"
"France","1","1512"
"United Kingdom","2","1517"
"Belgium","1","1517"
"United Kingdom","2","1518"
"Italy","1","1518"
"Unknown","4","1518"
"United Kingdom","2","1519"
"France","3","1519"
"Unknown","1","1519"
"Switzerland","1","1519"
"Germany","1","1519"
"Italy","2","1519"
"Belgium","2","1519"
"France","9","1520"
"Belgium","4","1520"
"Italy","4","1520"
"Germany","1","1520"
"Switzerland","1","1520"
"United Kingdom","1","1521"
"France","10","1521"
"Italy","5","1521"
"Germany","1","1521"
"Belgium","1","1521"
"France","1","1522"
"Italy","1","1523"
"France","1","1523"
"Italy","1","1524"
"France","2","1524"
"France","1","1527"
"United Kingdom","1","1527"
"France","1","1528"
"France","2","1529"
"France","3","1530"
