"Year","Number of Letters with inferred send date sent by Erasmus this year"
"1484","1"
"1487","9"
"1488","7"
"1489","12"
"1494","4"
"1495","3"
"1496","1"
"1497","16"
"1498","16"
"1499","22"
"1500","20"
"1501","23"
"1502","4"
"1503","3"
"1504","3"
"1505","4"
"1506","14"
"1507","3"
"1508","3"
"1511","13"
"1512","8"
"1513","12"
"1514","15"
"1515","18"
"1516","34"
"1517","89"
"1518","82"
"1519","37"
"1520","43"
"1521","24"
"1522","7"
"1523","19"
"1524","17"
"1525","18"
"1526","12"
"1527","15"
"1528","20"
"1529","16"
"1530","27"
"1531","20"
"1532","28"
"1533","13"
"1534","4"
"1535","10"
"1536","2"
