"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"","NULL","1"
"1484","1","NULL"
"1487","9","NULL"
"1488","7","NULL"
"1489","16","NULL"
"1493","2","NULL"
"1494","4","NULL"
"1495","6","NULL"
"1496","1","1"
"1497","17","NULL"
"1498","17","2"
"1499","28","3"
"1500","20","2"
"1501","23","2"
"1502","4","NULL"
"1503","3","3"
"1504","3","NULL"
"1505","4","1"
"1506","14","5"
"1507","4","NULL"
"1508","3","1"
"1509","2","2"
"1511","24","12"
"1512","12","4"
"1513","13","2"
"1514","20","15"
"1515","30","29"
"1516","81","41"
"1517","141","90"
"1518","95","70"
"1519","57","86"
"1520","57","64"
"1521","27","49"
"1522","19","62"
"1523","26","45"
"1524","23","106"
"1525","23","101"
"1526","20","94"
"1527","33","116"
"1528","31","125"
"1529","32","129"
"1530","37","136"
"1531","38","137"
"1532","51","106"
"1533","30","112"
"1534","14","77"
"1535","20","74"
"1536","8","43"
