"Year","Number of letters with non-inferred send date sent this year"
"1530","136"
"1531","137"
"1532","106"
"1533","112"
"1534","77"
"1535","74"
"1536","43"
"1518","70"
"1519","86"
"1520","64"
"1499","3"
"1521","49"
"1500","2"
"1522","62"
"1523","45"
"1524","106"
"1501","2"
"1525","101"
"1526","94"
"1503","3"
"1527","116"
"1505","1"
"","1"
"1506","5"
"1528","125"
"1529","129"
"1508","1"
"1509","2"
"1511","12"
"1512","4"
"1513","2"
"1514","15"
"1515","29"
"1516","41"
"1496","1"
"1517","90"
"1498","2"
