"Location Name","Number of letters sent from this location to Pirckheimer"
"Nuremberg","200"
"Augsburg","110"
"Bamberg","89"
"Bergen Abbey","84"
"Klarissenkloster St. Klara","71"
"Basel","45"
"Leipzig","27"
"Bologna","22"
"Herford","20"
"Geisenfeld Abbey","19"
"Venice","19"
"Ingolstadt","14"
"Eichstätt","13"
"Feldkirch","13"
"Innsbruck","13"
"Strasbourg","13"
"Vienna","12"
"Wittenberg","12"
"Kirchehrenbach","11"
"Frankfurt am Main","10"
"Stuttgart","10"
"Freiburg im Breisgau","9"
"Monastery Rebdorf","8"
"Rome","6"
"Altenburg","5"
"Burgos","5"
"Dresden","5"
"Erfurt","5"
"Cologne","5"
"Milan","5"
"Passau","5"
"Wroclaw","5"
"Donauwörth","4"
"Granada","4"
"Leuven","4"
"Lichtenau","4"
"Mainz","4"
"Nördlingen","4"
"Pavia","4"
"Ravensburg","4"
"Toledo","4"
"Valladolid","4"
"Würzburg","4"
"Ansbach","3"
"Kollegiatstift St. Viktor","3"
"Mirandola","3"
"Regensburg","3"
"Tübingen","3"
"Ulm","3"
"Amberg","2"
"Blois","2"
"Chiateoscutella","2"
"Esslingen am Neckar","2"
"Forchheim","2"
"Haguenau","2"
"Kitzingen","2"
"Langenburg","2"
"Linz","2"
"Munich","2"
"Neuburg an der Donau","2"
"Neuenstein","2"
"Schwäbisch Hall","2"
"Sélestat","2"
"Seville","2"
"Waischenfeld","2"
"Wertheim am Main","2"
"Antwerp","1"
"Aschaffenburg","1"
"Baden bei Wien","1"
"Bad Tölz","1"
"Beaune","1"
"Bolzano","1"
"Dachsbach","1"
"Burg Ebernburg","1"
"Feldlager bei Herrenberg","1"
"Ferrara","1"
"Florence","1"
"Freiberg","1"
"Fürth","1"
"Garmisch-Partenkirchen","1"
"Geneva","1"
"Gmunden","1"
"Göppingen","1"
"Graz","1"
"Hall in Tirol","1"
"Hilpoltstein","1"
"Hollfeld","1"
"Jena","1"
"Kalbensteinberg","1"
"Kloster Georgenthal","1"
"Königstein","1"
"Kornburg","1"
"Landau in der Pfalz","1"
"Lauf an der Pegnitz","1"
"Marienburg Abbey","1"
"Marienstein Abbey","1"
"Neumarkt in der Oberpfalz","1"
"Katharinenkloster Nürnberg","1"
"Oleśnica","1"
"Orléans","1"
"Padua","1"
"Palencia","1"
"Pamplona","1"
"Pillenreuth Abbey","1"
"Prague","1"
"Roding","1"
"Salzburg","1"
"Schloss Münchsdorf","1"
"Schloss Schillingsfürst","1"
"Schloss Schwarzenberg (Scheinfeld)","1"
"Schloß Schwarzenburg","1"
"Siena","1"
"Solothurn","1"
"Torgau","1"
"Toulouse","1"
"Tours","1"
"Trento","1"
"Weil der Stadt","1"
"Weinsberg","1"
"Weißenburg in Bayern","1"
"Wiener Neustadt","1"
"Wiesensteig","1"
"Wildberg","1"
"Zeil","1"
"Zürich","1"
