"Location Name","Number of letters sent to this location by Pirckheimer"
"Nuremberg","48"
"Bamberg","33"
"Augsburg","21"
"Basel","18"
"Klarissenkloster St. Klara","11"
"Cologne","10"
"Bologna","7"
"Leipzig","7"
"Vienna","7"
"Wittenberg","7"
"Strasbourg","6"
"Stuttgart","6"
"Bergen Abbey","6"
"Rome","5"
"Monastery Rebdorf","5"
"Dresden","5"
"Geisenfeld Abbey","4"
"Heidelberg","4"
"Sélestat","3"
"Mainz","3"
"Ingolstadt","3"
"Ravensburg","3"
"Antwerp","3"
"Arberg","2"
"Monastery Schamhaupten","2"
"Tübingen","2"
"Weinsberg","2"
"Altenburg","2"
"Eichstätt","2"
"Leuven","2"
"Mirandola","2"
"Brixen","2"
"Freiburg im Breisgau","2"
"Waischenfeld","1"
"Erfurt","1"
"Neuenstein","1"
"Venice","1"
"Innsbruck","1"
"Neustadt an der Aisch","1"
"Ansbach","1"
"Laufenburg","1"
"Schweinfurt","1"
"Bad Windsheim","1"
"Ferrara","1"
"Kaisheim","1"
"Speyer","1"
"Herford","1"
"Frankfurt am Main","1"
