"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_allen_2357","2357 [ALLEN]","melanchthon_philipp_viaf_76319978",0,0,"erasmus_desiderius_viaf_95982394",0,0,"2357 From Philip Melanchthon, Augsburg, 1 Aug. 1530 [ALLEN]",1530,"1530-08-01",0,1530,"1530-08-01",0,0,0,"augsburg_DE_gid_2954172",0,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2358","2358 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"melanchthon_philipp_viaf_76319978",0,0,"2358 To Philip Melanchthon, Freiburg, 2 Aug. 1530 [ALLEN]",1530,"1530-08-02",0,1530,"1530-08-02",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2359","2359 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"stadion_christoph_von_bishop_of_augsburg_viaf_72202625",0,0,"2359 To Christopher of Stadion, Freiburg, 3 Aug. 1530 [ALLEN]",1530,"1530-08-03",0,1530,"1530-08-03",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2360","2360 [ALLEN]","vlatten_johann_von_viaf_192938582",0,0,"erasmus_desiderius_viaf_95982394",0,0,"2360 From John Vlatten, Augsburg, 9 Aug. 1530 [ALLEN]",1530,"1530-08-09",0,1530,"1530-08-09",0,0,0,"augsburg_DE_gid_2954172",0,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2361","2361 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"thüngen_konrad_ii_von_viaf_26411713",0,0,"2361 To Conrad of Thuengen, Freiburg, 11 Aug. 1530 [ALLEN]",1530,"1530-08-11",0,1530,"1530-08-11",0,0,0,"freiburg_DE_gid_2925177",0,0,"würzburg_DE_gid_2805615",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2362","2362 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"stadion_christoph_von_bishop_of_augsburg_viaf_72202625",0,0,"2362 To Christopher of Stadion, Freiburg, 11 Aug. 1530 [ALLEN]",1530,"1530-08-11",0,1530,"1530-08-11",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2363","2363 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"melanchthon_philipp_viaf_76319978",0,0,"2363 To Philip Melanchthon, Freiburg, 12 Aug. 1530 [ALLEN]",1530,"1530-08-12",0,1530,"1530-08-12",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2364","2364 [ALLEN]","schetz_erasmus_viaf_101339450",0,0,"erasmus_desiderius_viaf_95982394",0,0,"2364 From Erasmus Schets, Antwerpen, 13 Aug. 1530 [ALLEN]",1530,"1530-08-13",0,1530,"1530-08-13",0,0,0,"antwerpen_BE_gid_2803138",0,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2365","2365 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"melanchthon_philipp_viaf_76319978",0,0,"2365 To Philip Melanchthon, Freiburg, 17 Aug. 1530 [ALLEN]",1530,"1530-08-17",0,1530,"1530-08-17",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
"era_allen_2366","2366 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"campeggi_lorenzo_viaf_9837370",0,0,"2366 To Lorenzo Campegio, Freiburg, 18 Aug. 1530 [ALLEN]",1530,"1530-08-18",0,1530,"1530-08-18",0,0,0,"freiburg_DE_gid_2925177",0,0,"augsburg_DE_gid_2954172",1,0,"latin","familiar letter","letter_1_to_1"
